Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,label
-3.5681505,0.36941904,0.9358569,-3.088205,-3.589948,0.4850339,0.11914615,-3.0727072,-3.1974475,0.5950929,0.35176042,-3.045223,-2.8368018,0.9411088,0.7981353,-2.9369602,-2.9958327,0.7294072,0.6905784,-3.177581,1
-3.5681505,0.36941904,0.9358569,-3.088205,-3.589948,0.4850339,0.11914615,-3.0727072,-3.1974475,0.5950929,0.35176042,-3.045223,-2.8368018,0.9411088,0.7981353,-2.9369602,-2.9958327,0.7294072,0.6905784,-3.177581,1
-3.5681505,0.98717517,0.9358569,-3.088205,-3.589948,1.105676,0.11914615,-3.0727072,-3.1974475,0.38983512,0.35176042,-3.045223,-2.8368018,0.80293,0.7981353,-2.9369602,-2.9958327,0.17537335,0.6905784,-3.177581,1
-3.5681505,1.2734064,0.86709815,-3.088205,-3.589948,1.0709099,0.6205357,-3.0727072,-3.1974475,0.53925127,0.6302899,-3.045223,-2.8368018,0.68744755,0.81162703,-2.9369602,-2.9958327,0.31025073,0.4110894,-3.177581,1
-3.5681505,1.5422691,1.0823417,-3.088205,-3.589948,1.1975236,0.7394114,-3.0727072,-3.1974475,0.35273618,0.48729956,-3.045223,-2.8368018,0.56454086,0.7306206,-2.9369602,-2.9958327,0.2607577,0.32251063,-3.177581,1
-3.5681505,1.5422691,1.0823417,-3.088205,-3.589948,1.1975236,0.7394114,-3.0727072,-3.1974475,0.35273618,0.48729956,-3.045223,-2.8368018,0.56454086,0.7306206,-2.9369602,-2.9958327,0.2607577,0.32251063,-3.177581,1
-3.5681505,0.931759,1.0823417,-3.088205,-3.589948,0.88866895,0.7394114,-3.0727072,-3.1974475,0.7607384,0.48729956,-3.045223,-2.8368018,0.20042945,0.7306206,-2.9369602,-2.9958327,0.28327546,0.32251063,-3.177581,1
-3.5681505,0.931759,1.0823417,-3.088205,-3.589948,0.88866895,0.7394114,-3.0727072,-3.1974475,0.7607384,0.48729956,-3.045223,-2.8368018,0.20042945,0.7306206,-2.9369602,-2.9958327,0.28327546,0.32251063,-3.177581,1
-3.5681505,0.931759,1.0823417,-3.088205,-3.589948,0.88866895,0.7394114,-3.0727072,-3.1974475,0.7607384,0.48729956,-3.045223,-2.8368018,0.20042945,0.7306206,-2.9369602,-2.9958327,0.28327546,0.32251063,-3.177581,1
-3.5681505,0.8324465,1.0823417,-3.088205,-3.589948,0.80066913,0.7394114,-3.0727072,-3.1974475,0.83018416,0.48729956,-3.045223,-2.8368018,0.62113684,0.7306206,-2.9369602,-2.9958327,0.08817173,0.32251063,-3.177581,1
